,loss,accuracy,val_loss,val_accuracy
0,1.8164734840393066,0.49444934725761414,14.16530704498291,0.37279775738716125
1,1.0390084981918335,0.6798238158226013,1.5568634271621704,0.682170569896698
2,0.9404022693634033,0.7182378768920898,2.454772472381592,0.4883720874786377
3,0.686286211013794,0.775682806968689,0.7603493332862854,0.75722336769104
4,0.5323570370674133,0.8180616497993469,0.6720702052116394,0.7857646346092224
5,0.4482395350933075,0.848986804485321,0.6394200921058655,0.786821722984314
6,0.4883255660533905,0.8400881290435791,0.7904510498046875,0.746300220489502
7,0.300284206867218,0.8966519832611084,0.6148337721824646,0.8037350177764893
8,0.27628976106643677,0.9061673879623413,0.5966775417327881,0.8114869594573975
9,0.2630435526371002,0.9104845523834229,0.6001200079917908,0.8118393421173096
